Biome_type,Country,Site,Subsite,Latitude,Longitude,Citation,Species,Species_Group,Time_period,Sample Size,Start_year,End_year,Beginning of recruitment period,Approximate Peak recruitment,Start_cover,End_cover,Total_cover_change,Annual.rate,Shrub_change_sum,Shrub_change,Evidence,Method,Cause1,Cause2,Cause3,Cause4,Is there ranking?,Notes
Tundra,Sweden,"Abisko Valley, Sweden",,68.35,18.82,"Hallinger, Manthey & Wilmking 2010",Juniperus nana,Species,200,33,1800,2000,1860 (1875 – 1925),1950s – 1970s,NA,NA,NA,NA,increase,"Increase (advance of the shrubline, climate related)",shrubline,Dendroecology,summer temperatures,winter snow,winter precipitation and ,winter temperatures.,Yes,"This study only measured radial growth and vertical growth, thus no info on cover is available. "
Tundra,Sweden,"Abisko Valley, Sweden",Average A sites,68.35,18.82,Rundqvist et al. 2011,Betula nana,Species,34,,1976,2010,unknown,1976-2010,12.82,22.86,10.04,0.295294118,increase,Variable (increase in some places and decrease near treeline),"shrubline, cover",Ecological monitoring,increased temperatures,increased snow depth,increased length of growing season,decrease in reindeer grazing and rodent grazing (voles and lemmings),No,"Species that increased: B. pubescens, B. nana, P. tremula (recruitment). Inconsistent trends: J. communis *increase/decrease), Salix spp (decrease/increase), S. aucuparia (decrease/increase). There are values of cover change for the 3 different plots. To calculate the overall initial and final covers, I have added up the covers in 1976 and in 2009 and calculated the percentage of change respective of the 2500 m2 of each plot area (total of 7500 m2), by adding up all of the plot areas and all of the total cover of shrubs (left out the poplar since it's a tree)."
Tundra,Sweden,"Abisko Valley, Sweden",Average A sites,68.35,18.82,Rundqvist et al. 2011,Betula pubescens subsp. czerepanowii,Species,34,,1976,2010,unknown,1976-2010,1.621,10.71,9.089,0.267323529,increase,Variable (increase in some places and decrease near treeline),"shrubline, cover",Ecological monitoring,increased temperatures,increased snow depth,increased length of growing season,decrease in reindeer grazing and rodent grazing (voles and lemmings),No,"Species that increased: B. pubescens, B. nana, P. tremula (recruitment). Inconsistent trends: J. communis *increase/decrease), Salix spp (decrease/increase), S. aucuparia (decrease/increase). There are values of cover change for the 3 different plots. To calculate the overall initial and final covers, I have added up the covers in 1976 and in 2009 and calculated the percentage of change respective of the 2500 m2 of each plot area (total of 7500 m2), by adding up all of the plot areas and all of the total cover of shrubs (left out the poplar since it's a tree)."
Tundra,Sweden,"Abisko Valley, Sweden",Average A sites,68.35,18.82,Rundqvist et al. 2011,Juniperus communis,Species,34,,1976,2010,unknown,1976-2010,7.5,7.81,0.31,0.009117647,increase,Variable (increase in some places and decrease near treeline),"shrubline, cover",Ecological monitoring,increased temperatures,increased snow depth,increased length of growing season,decrease in reindeer grazing and rodent grazing (voles and lemmings),No,"Species that increased: B. pubescens, B. nana, P. tremula (recruitment). Inconsistent trends: J. communis *increase/decrease), Salix spp (decrease/increase), S. aucuparia (decrease/increase). There are values of cover change for the 3 different plots. To calculate the overall initial and final covers, I have added up the covers in 1976 and in 2009 and calculated the percentage of change respective of the 2500 m2 of each plot area (total of 7500 m2), by adding up all of the plot areas and all of the total cover of shrubs (left out the poplar since it's a tree)."
Tundra,Sweden,"Abisko Valley, Sweden",Average A sites,68.35,18.82,Rundqvist et al. 2011,Populus tremula,Species,34,,1976,2010,unknown,1976-2010,0,0.2,0.2,0.005882353,increase,Variable (increase in some places and decrease near treeline),"shrubline, cover",Ecological monitoring,increased temperatures,increased snow depth,increased length of growing season,decrease in reindeer grazing and rodent grazing (voles and lemmings),No,"Species that increased: B. pubescens, B. nana, P. tremula (recruitment). Inconsistent trends: J. communis *increase/decrease), Salix spp (decrease/increase), S. aucuparia (decrease/increase). There are values of cover change for the 3 different plots. To calculate the overall initial and final covers, I have added up the covers in 1976 and in 2009 and calculated the percentage of change respective of the 2500 m2 of each plot area (total of 7500 m2), by adding up all of the plot areas and all of the total cover of shrubs (left out the poplar since it's a tree)."
Tundra,Sweden,"Abisko Valley, Sweden",Average A sites,68.35,18.82,Rundqvist et al. 2011,Salix spp.,Species,34,,1976,2010,unknown,1976-2010,5.33,6.1,0.77,0.022647059,increase,Variable (increase in some places and decrease near treeline),"shrubline, cover",Ecological monitoring,increased temperatures,increased snow depth,increased length of growing season,decrease in reindeer grazing and rodent grazing (voles and lemmings),No,"Species that increased: B. pubescens, B. nana, P. tremula (recruitment). Inconsistent trends: J. communis *increase/decrease), Salix spp (decrease/increase), S. aucuparia (decrease/increase). There are values of cover change for the 3 different plots. To calculate the overall initial and final covers, I have added up the covers in 1976 and in 2009 and calculated the percentage of change respective of the 2500 m2 of each plot area (total of 7500 m2), by adding up all of the plot areas and all of the total cover of shrubs (left out the poplar since it's a tree)."
Tundra,Sweden,"Abisko Valley, Sweden",Average A sites,68.35,18.82,Rundqvist et al. 2011,Sorbus aucuparia,Species,34,,1976,2010,unknown,1976-2010,0.23,0.31,0.08,0.002352941,stable,Variable (increase in some places and decrease near treeline),"shrubline, cover",Ecological monitoring,increased temperatures,increased snow depth,increased length of growing season,decrease in reindeer grazing and rodent grazing (voles and lemmings),No,"Species that increased: B. pubescens, B. nana, P. tremula (recruitment). Inconsistent trends: J. communis *increase/decrease), Salix spp (decrease/increase), S. aucuparia (decrease/increase). There are values of cover change for the 3 different plots. To calculate the overall initial and final covers, I have added up the covers in 1976 and in 2009 and calculated the percentage of change respective of the 2500 m2 of each plot area (total of 7500 m2), by adding up all of the plot areas and all of the total cover of shrubs (left out the poplar since it's a tree)."
Tundra,Sweden,"Abisko, Sweden",,68.21,18.49,"Hallinger et al. 2010, Hallinger and Wilmking 2011","Juniperus nana, Salix glauca, Betula nana",Group,156,35,1850,2006,unknown,unknown,NA,NA,NA,NA,increase,"Increases in shrub size and upslope movement of Juniperus nana, Growth of Salix glauca, Betula nana","shrubline, growth",Dendroecology,warm summer temperatures,snow depth,reindeer population,,"No, depends on the species",Values in Hallinger et al. 2011 are related to radial growth and not to cover. I couldn't find Hallinger et al. up. d. paper.
Tundra,Canada,"Alexandra Fiord, Ellesmere Island, Canada",Average sites A-E,78.53,-75.55,Hill and Henry 2011,Dryas integrifolia,Species,24,25,1981,2005,increase,no,NA,NA,NA,NA,increase,above-ground biomass,biomass,Ecological monitoring,warming temperatures,,,,No,
Tundra,Canada,"Alexandra Fiord, Ellesmere Island, Canada",Average sites A-E,78.53,-75.55,Hill and Henry 2011,Salix arctica,Species,24,25,1981,2005,increase,yes,NA,NA,NA,NA,increase,above-ground biomass,biomass,Ecological monitoring,warming temperatures,,,,No,
Tundra,Canada,"Alexandra Fiord, Ellesmere Island, Nunavut",,78.88,-75.92,Hudson and Henry 2009,Dryas integrifolia,Species,27,,1981,2008,,,17,16,-1,-0.037037037,decrease,,cover,Ecological monitoring,warming temperatures (non-significant effect of warming),,,,No,
Tundra,Canada,"Alexandra Fiord, Ellesmere Island, Nunavut",,78.88,-75.92,Hudson and Henry 2009,Cassiope tetragona,Species,27,,1981,2008,,,45,44,-1,-0.037037037,decrease,,cover,Ecological monitoring,warming temperatures (non-significant effect of warming),,,,No,
Tundra,Canada,"Alexandra Fiord, Ellesmere Island, Nunavut (AD)",,78.86,-75.9,Boulanger-Lapointe et al. 2014,Salix arctica,Species,12,29,1997,2009,1940,1955,3.5,6,2.5,0.208333333,increase,Increase/succession after glacial retreat,"recruitment, cover","Dendroecology, Ecological monitoring, Repeat photography",glacial retreat,soil moisture during growing season,,,No,"Five different sites each with different values: SV (16 -17, 23 ys), SP (4 - 1, 12 ys), AD (3.5 - 6, 12 ys), AG (0.2 - 0.8, 14 ys), SG (1.5 - 9.5, 5 ys)"
Tundra,Canada,"Alexandra Fiord, Ellesmere Island, Nunavut (AG)",,78.86,-75.9,Boulanger-Lapointe et al. 2014,Salix arctica,Species,14,29,1995,2009,1940,1955,0,1,1,0.071428571,increase,Increase/succession after glacial retreat,recruitment,"Dendroecology, Ecological monitoring, Repeat photography",glacial retreat,soil moisture during growing season,,,No,"Five different sites each with different values: SV (16 -17, 23 ys), SP (4 - 1, 12 ys), AD (3.5 - 6, 12 ys), AG (0.2 - 0.8, 14 ys), SG (1.5 - 9.5, 5 ys)"
Tundra,USA,"Arctic Alaska, Anaktuvuk R. (S)",,68.95,-151.2,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa",Group,54,"expanding patches = 59, stable patches = 40, total = 99",1945,1999,1875 (1800 – 1950),1975,16,18,2,0.037037037,increase,"Increase (135 photo pairs showing increase, 18 no change, 2 decrease)",cover,"Repeat photograph, dendroecology",warming air temperatures,,,,No,"Earliest record is 1950 for repeat photography and 1910 for dendrochronology. Cover was not recorded previously, only in 2008. The earliest record of 1950 dates back to dendrochronology. Values of cover are 32.6% for deciduous shrub in expanding plots, 24.9 for deciduous shrub in stable plots, 11% for evergreen expanding and 14.7% for evergreen stable (Tape et al. 2012)"
