"","Biome_type","Country","Site","Latitude","Longitude","Citation","Species","Species_Group","Time_period","Start_year","End_year","Start_cover","End_cover","Total_cover_change","Annual.rate","Method","Plot.ID","Continent","Trend","Biome_trend"
"2","Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Betula nana","Species",34,1976,2010,"12.82","22.86",10.04,0.295294118,"Ecological monitoring","t1","Europe","Increase","Tundra_increase"
"3","Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Betula pubescens subsp. czerepanowii","Species",34,1976,2010,"1.621","10.71",9.089,0.267323529,"Ecological monitoring","t2","Europe","Increase","Tundra_increase"
"4","Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Juniperus communis","Species",34,1976,2010,"7.5","7.81",0.31,0.009117647,"Ecological monitoring","t3","Europe","Stable","Tundra_stable"
"5","Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Populus tremula","Species",34,1976,2010,"0","0.2",0.2,0.005882353,"Ecological monitoring","t4","Europe","Stable","Tundra_stable"
"6","Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Salix spp.","Species",34,1976,2010,"5.33","6.1",0.77,0.022647059,"Ecological monitoring","t5","Europe","Increase","Tundra_increase"
"7","Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Sorbus aucuparia","Species",34,1976,2010,"0.23","0.31",0.08,0.002352941,"Ecological monitoring","t6","Europe","Stable","Tundra_stable"
"11","Tundra","Canada","Alexandra Fiord, Ellesmere Island, Nunavut",78.88,-75.92,"Hudson and Henry 2009","Dryas integrifolia","Species",27,1981,2008,"17","16",-1,-0.037037037,"Ecological monitoring","t7","North America","Decrease","Tundra_decrease"
"12","Tundra","Canada","Alexandra Fiord, Ellesmere Island, Nunavut",78.88,-75.92,"Hudson and Henry 2009","Cassiope tetragona","Species",27,1981,2008,"45","44",-1,-0.037037037,"Ecological monitoring","t8","North America","Decrease","Tundra_decrease"
"13","Tundra","Canada","Alexandra Fiord, Ellesmere Island, Nunavut (AD)",78.86,-75.9,"Boulanger-Lapointe et al. 2014","Salix arctica","Species",12,1997,2009,"3.5","6",2.5,0.208333333,"Dendroecology, Ecological monitoring, Repeat photography","t9","North America","Increase","Tundra_increase"
"14","Tundra","Canada","Alexandra Fiord, Ellesmere Island, Nunavut (AG)",78.86,-75.9,"Boulanger-Lapointe et al. 2014","Salix arctica","Species",14,1995,2009,"0","1",1,0.071428571,"Dendroecology, Ecological monitoring, Repeat photography","t10","North America","Increase","Tundra_increase"
