"","X.1","X","Biome_type","Country","Site","Latitude","Longitude","Citation","Species","Species_Group","Time_period","Start_year","End_year","Start_cover","End_cover","Total_cover_change","Annual.rate","Method","Plot.ID","Continent","Trend","Biome_trend","tempc","precip","Absolute_change","lat_cat","long_cat","geo.coords"
"1",1,2,"Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Betula nana","Species",34,1976,2010,"12.82","22.86",10.04,0.295294118,"Ecological monitoring","t1","Europe","Increase","Tundra_increase",0,401,0.295294118,60,10,"_ 60 _ 10 _"
"2",2,3,"Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Betula pubescens subsp. czerepanowii","Species",34,1976,2010,"1.621","10.71",9.089,0.267323529,"Ecological monitoring","t2","Europe","Increase","Tundra_increase",0,401,0.267323529,60,10,"_ 60 _ 10 _"
"3",3,4,"Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Juniperus communis","Species",34,1976,2010,"7.5","7.81",0.31,0.009117647,"Ecological monitoring","t3","Europe","Stable","Tundra_stable",0,401,0.009117647,60,10,"_ 60 _ 10 _"
"4",4,5,"Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Populus tremula","Species",34,1976,2010,"0","0.2",0.2,0.005882353,"Ecological monitoring","t4","Europe","Stable","Tundra_stable",0,401,0.005882353,60,10,"_ 60 _ 10 _"
"5",5,6,"Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Salix spp.","Species",34,1976,2010,"5.33","6.1",0.77,0.022647059,"Ecological monitoring","t5","Europe","Increase","Tundra_increase",0,401,0.022647059,60,10,"_ 60 _ 10 _"
"6",6,7,"Tundra","Sweden","Abisko Valley, Sweden",68.35,18.82,"Rundqvist et al. 2011","Sorbus aucuparia","Species",34,1976,2010,"0.23","0.31",0.08,0.002352941,"Ecological monitoring","t6","Europe","Stable","Tundra_stable",0,401,0.002352941,60,10,"_ 60 _ 10 _"
"7",7,11,"Tundra","Canada","Alexandra Fiord, Ellesmere Island, Nunavut",78.88,-75.92,"Hudson and Henry 2009","Dryas integrifolia","Species",27,1981,2008,"17","16",-1,-0.037037037,"Ecological monitoring","t7","North America","Decrease","Tundra_decrease",-14.6,135,0.037037037,70,-80,"_ 70 _ -80 _"
"8",8,12,"Tundra","Canada","Alexandra Fiord, Ellesmere Island, Nunavut",78.88,-75.92,"Hudson and Henry 2009","Cassiope tetragona","Species",27,1981,2008,"45","44",-1,-0.037037037,"Ecological monitoring","t8","North America","Decrease","Tundra_decrease",-14.6,135,0.037037037,70,-80,"_ 70 _ -80 _"
"9",9,13,"Tundra","Canada","Alexandra Fiord, Ellesmere Island, Nunavut (AD)",78.86,-75.9,"Boulanger-Lapointe et al. 2014","Salix arctica","Species",12,1997,2009,"3.5","6",2.5,0.208333333,"Dendroecology, Ecological monitoring, Repeat photography","t9","North America","Increase","Tundra_increase",-16.7,152,0.208333333,70,-80,"_ 70 _ -80 _"
"10",10,14,"Tundra","Canada","Alexandra Fiord, Ellesmere Island, Nunavut (AG)",78.86,-75.9,"Boulanger-Lapointe et al. 2014","Salix arctica","Species",14,1995,2009,"0","1",1,0.071428571,"Dendroecology, Ecological monitoring, Repeat photography","t10","North America","Increase","Tundra_increase",-16.7,152,0.071428571,70,-80,"_ 70 _ -80 _"
"11",11,15,"Tundra","USA","Arctic Alaska, Anaktuvuk R. (S)",68.95,-151.2,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"16","18",2,0.037037037,"Repeat photograph, dendroecology","t11","North America","Increase","Tundra_increase",-9.1,170,0.037037037,60,-160,"_ 60 _ -160 _"
"12",12,16,"Tundra","USA","Arctic Alaska, Anaktuvuk R. (N)",69.03,-151.1,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"15","18",3,0.055555556,"Repeat photograph, dendroecology","t12","North America","Increase","Tundra_increase",-9.2,186,0.055555556,60,-160,"_ 60 _ -160 _"
"13",13,17,"Tundra","USA","Arctic Alaska, Ayiyak",68.9,-152.5,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"7","8",1,0.018518519,"Repeat photograph, dendroecology","t13","North America","Increase","Tundra_increase",-9.5,155,0.018518519,60,-160,"_ 60 _ -160 _"
"14",14,18,"Tundra","USA","Arctic Alaska, Chandler",68.95,-151.9,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"28","38",10,0.185185185,"Repeat photograph, dendroecology","t14","North America","Increase","Tundra_increase",-9.2,164,0.185185185,60,-160,"_ 60 _ -160 _"
"15",15,19,"Tundra","USA","Arctic Alaska, Colville R (W)",68.87,-156.7,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"5","9",4,0.074074074,"Repeat photograph, dendroecology","t15","North America","Increase","Tundra_increase",-9.9,212,0.074074074,60,-160,"_ 60 _ -160 _"
"16",16,20,"Tundra","USA","Arctic Alaska, Colville R",68.95,-155.93,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"18","23",5,0.092592593,"Repeat photograph, dendroecology","t16","North America","Increase","Tundra_increase",-10.1,223,0.092592593,60,-160,"_ 60 _ -160 _"
"17",17,21,"Tundra","USA","Arctic Alaska, Colville R €",69.33,-152.35,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"22","28",6,0.111111111,"Repeat photograph, dendroecology","t17","North America","Increase","Tundra_increase",-9.5,131,0.111111111,60,-160,"_ 60 _ -160 _"
"18",18,22,"Tundra","USA","Arctic Alaska, Kurupa",68.9,-155.1,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"10","15",5,0.092592593,"Repeat photograph, dendroecology","t18","North America","Increase","Tundra_increase",-10.2,232,0.092592593,60,-160,"_ 60 _ -160 _"
"19",19,23,"Tundra","USA","Arctic Alaska, Lupine",69.08,-148.8,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"6.7","6.9",0.2,0.003703704,"Repeat photograph, dendroecology","t19","North America","Stable","Tundra_stable",-8.8,201,0.003703704,60,-150,"_ 60 _ -150 _"
"20",20,24,"Tundra","USA","Arctic Alaska, Nanushuk R (S)",68.7,-150.6,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"22","26",4,0.074074074,"Repeat photograph, dendroecology","t20","North America","Increase","Tundra_increase",-9.4,238,0.074074074,60,-160,"_ 60 _ -160 _"
"21",21,25,"Tundra","USA","Arctic Alaska, Nanushuk R (N)",69.1,-150.8,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"17","20",3,0.055555556,"Repeat photograph, dendroecology","t21","North America","Increase","Tundra_increase",-9,184,0.055555556,60,-160,"_ 60 _ -160 _"
"22",22,26,"Tundra","USA","Arctic Alaska, Nigu",68.4,-156.4,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"8","9",1,0.018518519,"Repeat photograph, dendroecology","t22","North America","Increase","Tundra_increase",-9.9,242,0.018518519,60,-160,"_ 60 _ -160 _"
"23",23,27,"Tundra","USA","Arctic Alaska, Nimiuktuk",68.2,-159.9,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"13","18",5,0.092592593,"Repeat photograph, dendroecology","t23","North America","Increase","Tundra_increase",-8.5,280,0.092592593,60,-160,"_ 60 _ -160 _"
"24",24,28,"Tundra","USA","Arctic Alaska, Oolamnagavik",68.8,-154.1,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"8","13",5,0.092592593,"Repeat photograph, dendroecology","t24","North America","Increase","Tundra_increase",-10,224,0.092592593,60,-160,"_ 60 _ -160 _"
"25",25,29,"Tundra","USA","Arctic Alaska, Sagavanirktok",69.4,-148.6,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,"8","13",5,0.092592593,"Repeat photograph, dendroecology","t25","North America","Increase","Tundra_increase",-8.9,163,0.092592593,60,-150,"_ 60 _ -150 _"
"26",26,30,"Tundra","USA","Arctic Alaska, Utukok",69,-161.06,"Tape, Sturm & Racine 2006","Betula nana, B. glandulosa, Salix alaxsensis, Salix pulchra, Salix glauca, Alnus crispa","Group",54,1945,1999,NA,NA,0,0,"Repeat photograph, dendroecology","t26","North America","Stable","Tundra_stable",-10.7,236,0,60,-170,"_ 60 _ -170 _"
"27",27,31,"Tundra","USA","Arctic National Wildlife Refuge, Alaska",69.8,-144.25,"Pattison et al. 2015","deciduous shrubs","Group",25,1984,2009,"45","45",0,0,"Ecological monitoring","t27","North America","Stable","Tundra_stable",-9,165,0,60,-150,"_ 60 _ -150 _"
"28",28,32,"Tundra","USA","Arctic National Wildlife Refuge, Alaska",69.8,-144.25,"Pattison et al. 2015","evergreen shrubs","Group",25,1984,2009,"45","45",0,0,"Ecological monitoring","t28","North America","Stable","Tundra_stable",-9,165,0,60,-150,"_ 60 _ -150 _"
"29",29,33,"Tundra","USA","Arctic National Wildlife Refuge, Alaska",69.8,-144.25,"Jorgenson et al. 2015","deciduous shrubs","Group",25,1984,2009,"19","16",-3,-0.12,"Ecological monitoring","t29","North America","Decrease","Tundra_decrease",-9,165,0.12,60,-150,"_ 60 _ -150 _"
"30",30,34,"Tundra","USA","Arctic National Wildlife Refuge, Alaska",69.8,-144.25,"Jorgenson et al. 2015","evergreen shrubs","Group",25,1984,2009,"19","19",0,0,"Ecological monitoring","t30","North America","Stable","Tundra_stable",-9,165,0,60,-150,"_ 60 _ -150 _"
"31",31,35,"Tundra","Canada","Arctic, NWT, Tuktoyatkut Coastal Plain",69.25,-132.5,"Fraser et al. 2014","tall shrubs and erect dwarf shrubs","Group",33,1980,2013,NA,NA,20,0.606060606,"Repeat photography","t31","North America","Increase","Tundra_increase",-9.4,156,0.606060606,60,-140,"_ 60 _ -140 _"
"32",32,37,"Tundra","USA","Ayiyak, Alaska",68.91,-152.47,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",32,1977,2009,"27.13","38.34",11.21,0.3503125,"Repeat photography","t32","North America","Increase","Tundra_increase",-9.6,157,0.3503125,60,-160,"_ 60 _ -160 _"
"33",33,38,"Tundra","USA","Barrow, Alaska",71.3,-156.67,"Villarreal et al. 2012","Salix pulchra","Species",38,1972,2010,NA,NA,1.4,0.036842105,"Ecological monitoring","t33","North America","Increase","Tundra_increase",-10.9,116,0.036842105,70,-160,"_ 70 _ -160 _"
"34",34,39,"Tundra","USA","Barrow, Alaska",71.3,-156.67,"Villarreal et al. 2012","Salix rotundifolia","Species",38,1972,2010,NA,NA,-1,-0.026315789,"Ecological monitoring","t34","North America","Decrease","Tundra_decrease",-10.9,116,0.026315789,70,-160,"_ 70 _ -160 _"
"35",35,40,"Tundra","USA","Barrow, Alaska",71.3,-156.67,"Villarreal et al. 2012","Cassiope tetragona","Species",38,1972,2010,NA,NA,-0.6,-0.015789474,"Ecological monitoring","t35","North America","Decrease","Tundra_decrease",-10.9,116,0.015789474,70,-160,"_ 70 _ -160 _"
"36",36,41,"Tundra","USA","Barrow, Alaska",71.3,-156.67,"Villarreal et al. 2012","shrub functional group (Salix pulchra, Salix rotundifolia, Cassiope tetragona, etc.)","Group",38,1972,2010,NA,NA,0,0,"Ecological monitoring","t36","North America","Stable","Tundra_stable",-10.9,116,0,70,-160,"_ 70 _ -160 _"
"37",37,42,"Tundra","Canada","Boniface River research station, Nunavik, Quebec, Canada",57.75,-76.33,"Ropars & Boudreau 2012","Betula glandulosa","Species",51,1957,2008,"31.95","48.55",16.6,0.325490196,"Repeat photography, satellite imagery","t37","North America","Increase","Tundra_increase",-5.4,446,0.325490196,50,-80,"_ 50 _ -80 _"
"38",38,45,"Tundra","USA","Brooks Range, Alaska",68.67,-155.93,"Tape et al. 2012","shrub deciduos","Group",50,1950,2008,NA,"24.9",0,0,"Repeat photography, Dendrochronology","t38","North America","Stable","Tundra_stable",-9.9,229,0,60,-160,"_ 60 _ -160 _"
"39",39,47,"Tundra","USA","Brooks Range, Alaska",68.67,-155.93,"Tape et al. 2012","shrub evergreen","Group",50,1950,2008,NA,"14.7",0,0,"Repeat photography, Dendrochronology","t39","North America","Stable","Tundra_stable",-9.9,229,0,60,-160,"_ 60 _ -160 _"
"40",40,48,"Tundra","USA","Chandler, Alaska",69.01,-151.93,"Naito and Cairns 2014","tall shrub (Alnus spp., Betula glandulosa, B. nana, and Salix spp.)","Group",32,1977,2009,"30.29","39.78",9.49,0.2965625,"Repeat photography","t40","North America","Increase","Tundra_increase",-9,148,0.2965625,60,-160,"_ 60 _ -160 _"
"41",41,49,"Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Evergreen shrubs","Group",20,1987,2007,"5","8",3,0.15,"Ecological monitoring","t41","Europe","Increase","Tundra_increase",-4.6,679,0.15,60,10,"_ 60 _ 10 _"
"42",42,50,"Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Deciduous shrubs","Group",20,1987,2007,"15","25",10,0.5,"Ecological monitoring","t42","Europe","Increase","Tundra_increase",-4.6,679,0.5,60,10,"_ 60 _ 10 _"
"43",43,51,"Tundra","Sweden","Cievrratjåkka, Sweden",67.61,18.49,"Wilson and Nilsson 2009","Vaccinium myrtillus","Species",20,1987,2007,"1","2",1,0.05,"Ecological monitoring","t43","Europe","Increase","Tundra_increase",-4.6,679,0.05,60,10,"_ 60 _ 10 _"
