Number,Citation,Country,Site,Continent,Vegetation.Description,Biome,Biome_type,Area.Sampled.km2,Method,Start_cover,End_cover,Total_cover_change,Start_year,End_year,Time_period,Annual.rate,Landuse,Species,Woody.functional.type,Species_Group,Latitude,Longitude,Rainfall,Temp,Causes,Drivers,Notes,MGC questions
1,"O'Connor & Crow, 1999",South Africa,"Eastern cape, Kei Road and Komga",Africa,Eastern Province thornveld and valley bushveld (in valleys),savanna,Savanna,2.944,stratified sampling of aerial photos,17,35,18,1938,1986,48,0.375,Commercial ranching,Acacia karoo,woody (trees and shrub),Species,-32.67,27.67,772,,"over a rainfall gradient. Woody cover was stable for the first 25 years until 1964 and then increased dramatically, indicating exponential growth",Increased rainfall,"change in cover was not correlated with rainfall, however the increase post 65 was interpreted as an increase caused by high rainfall following drouoght conditions (not tested)",thickening of savanna and invasion into grassland
2,"Roques, O' Connor et al, 2001",Swaziland,NE Swaziland lowveld,Africa,NE Swaziland lowveld,savanna,Savanna,7.5087,stratified sampling of aerial photos,2,31,29,1947,1990,43,0.674418605,AVERAGE FOR ALL SITES - RETAIN THIS ONE,Dichrostachys cineria,shrub,Species,-26.27,31.9,675,,Cover was stable until late 1960's,Increased grazing,Heavy grazing- fire freq reduction,
2,"Roques, O' Connor et al, 2001",Swaziland,NE Swaziland lowveld,Africa,NE Swaziland lowveld,savanna,Savanna,7.5087,stratified sampling of aerial photos,2,31,29,1947,1990,43,0.674418605,AVERAGE FOR ALL SITES - RETAIN THIS ONE,Dichrostachys cineria,shrub,Species,-26.27,31.9,675,,Cover was stable until late 1960's,Fire suppression,Heavy grazing- fire freq reduction,
3,"Roques, O' Connor et al, 2001",Swaziland,NE Swaziland lowveld,Africa,NE Swaziland lowveld,savanna,Savanna,0.6561,stratified sampling of aerial photos,2,42,40,1947,1997,50,0.8,communal,Dichrostachys cineria,shrub,Species,-26.27,31.9,675,,,Increased grazing,,
3,"Roques, O' Connor et al, 2001",Swaziland,NE Swaziland lowveld,Africa,NE Swaziland lowveld,savanna,Savanna,0.6561,stratified sampling of aerial photos,2,42,40,1947,1997,50,0.8,communal,Dichrostachys cineria,shrub,Species,-26.27,31.9,675,,,Fire suppression,,
4,"Roques, O' Connor et al, 2001",Swaziland,NE Swaziland lowveld,Africa,NE Swaziland lowveld,savanna,Savanna,3.7908,stratified sampling of aerial photos,2,25,23,1947,1997,50,0.46,conservation,Dichrostachys cineria,shrub,Species,-26.27,31.9,675,,,Increased grazing,,
4,"Roques, O' Connor et al, 2001",Swaziland,NE Swaziland lowveld,Africa,NE Swaziland lowveld,savanna,Savanna,3.7908,stratified sampling of aerial photos,2,25,23,1947,1997,50,0.46,conservation,Dichrostachys cineria,shrub,Species,-26.27,31.9,675,,,Fire suppression,,
5,"Roques, O' Connor et al, 2001",Swaziland,NE Swaziland lowveld,Africa,NE Swaziland lowveld,savanna,Savanna,1.8954,stratified sampling of aerial photos,2,19,17,1947,1997,50,0.34,Commercial ranching,Dichrostachys cineria,shrub,Species,-26.27,31.9,675,,,Increased grazing,,
6,"Roques, O' Connor et al, 2001",Swaziland,NE Swaziland lowveld,Africa,NE Swaziland lowveld,savanna,Savanna,0.4374,stratified sampling of aerial photos,2,19,17,1947,1997,50,0.34,herbivore exclosure,Dichrostachys cineria,shrub,Species,-26.27,31.9,675,,,Fire suppression,,
7,"Roques, O' Connor et al, 2001",Swaziland,NE Swaziland lowveld,Africa,NE Swaziland lowveld,savanna,Savanna,0.729,stratified sampling of aerial photos,2,3,1,1947,1997,50,0.02,low mixed use,Dichrostachys cineria,shrub,Species,-26.27,31.9,675,,,Increased grazing,,
7,"Roques, O' Connor et al, 2001",Swaziland,NE Swaziland lowveld,Africa,NE Swaziland lowveld,savanna,Savanna,0.729,stratified sampling of aerial photos,2,3,1,1947,1997,50,0.02,low mixed use,Dichrostachys cineria,shrub,Species,-26.27,31.9,675,,,Fire suppression,,
