Biome_type,Country,Site,Latitude,Longitude,PI,Citation,Start_year,End_year,Start_cover,End_cover,Species,Species_Group,Time_period,Total_cover_change,Annual.rate,Method,trend
Tundra,Iceland,AKUREYRI:GA66,65.59293,-17.97208,Magnusson,Magnusson et al. 2005,1998,2015,3.615384615,6.461538462,Evergreen shrubs,Group,17,2.846153846,0.167420814,Ecological monitoring,Tundra_increase
Tundra,Iceland,AKUREYRI:HR58,65.56427,-18.1559,Magnusson,Bjorkman et al. 2018,1998,2015,4.035714286,17.71428571,Evergreen shrubs,Group,17,13.67857143,0.804621849,Ecological monitoring,Tundra_increase
Tundra,Iceland,AKUREYRI:MD72,65.51392,-18.0768,Magnusson,Magnusson et al. 2005,1998,2015,0.928571429,10.28571429,Evergreen shrubs,Group,17,9.357142857,0.550420168,Ecological monitoring,Tundra_increase
Tundra,Iceland,AKUREYRI:SB63,65.44984,-18.24216,Magnusson,Magnusson et al. 2005,1998,2015,2.04,9.26,Evergreen shrubs,Group,17,7.22,0.424705882,Ecological monitoring,Tundra_increase
Tundra,Iceland,AKUREYRI:SY59,65.50548,-18.22637,Magnusson,Magnusson et al. 2005,1998,2015,0.888888889,19.55555556,Evergreen shrubs,Group,17,18.66666667,1.098039216,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:CASSIOPE,78.87448,-75.78341, Henry,Elmendorf et al. 2012,1995,2007,12.05555556,14.33333333,Evergreen shrubs,Group,12,2.277777778,0.189814815,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:CASSIOPE_COVER,78.87448,-75.78341, Henry,Hudson & Henry 2009,1981,2007,30.45,28.85,Evergreen shrubs,Group,26,-1.6,-0.061538462,Ecological monitoring,Tundra_decrease
Tundra,Canada,ALEXFIORD:DOMEDOLOMITE,78.86221,-75.90053, Henry,Elmendorf et al. 2012,1995,2008,1.5,1.25,Evergreen shrubs,Group,13,-0.25,-0.019230769,Ecological monitoring,Tundra_decrease
Tundra,Canada,ALEXFIORD:DOMEGRANITE,78.86192,-75.90385, Henry,Elmendorf et al. 2012,1995,2008,0,0,Evergreen shrubs,Group,13,0,0,Ecological monitoring,Tundra_stable
Tundra,Canada,ALEXFIORD:DRYAS,78.8719,-75.7826, Henry,Elmendorf et al. 2012,1995,2015,9.8,15.01818182,Evergreen shrubs,Group,20,5.218181818,0.260909091,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:FERT,78.87107,-75.79107, Henry,Elmendorf et al. 2012,1995,2010,12.88888889,8.333333333,Evergreen shrubs,Group,15,-4.555555556,-0.303703704,Ecological monitoring,Tundra_decrease
Tundra,Canada,ALEXFIORD:LEVDOLOMITE,78.86221,-75.90053,Levesque,"Levesque 1997, unpublished data",1992,2009,1.805555556,0.333333333,Evergreen shrubs,Group,17,-1.472222222,-0.086601307,Ecological monitoring,Tundra_decrease
Tundra,Canada,ALEXFIORD:LEVGRANITE,78.86192,-75.90385,Levesque,"Levesque 1997, unpublished data",1992,2009,0.166666667,1.166666667,Evergreen shrubs,Group,17,1,0.058823529,Ecological monitoring,Tundra_increase
Tundra,Canada,ALEXFIORD:MEADOW,78.87558,-75.80909, Henry,Elmendorf et al. 2012,1995,2010,13,10.72727273,Evergreen shrubs,Group,15,-2.272727273,-0.151515152,Ecological monitoring,Tundra_decrease
Tundra,Canada,ALEXFIORD:WILLOW,78.87421,-75.79867, Henry,Elmendorf et al. 2012,1995,2015,6.5,10.33333333,Evergreen shrubs,Group,20,3.833333333,0.191666667,Ecological monitoring,Tundra_increase
Tundra,USA,ANWR:ATIGUN-A,68.4746405,-149.3521345,Jorgenson,Jorgenson et al. 2000;,1997,2007,11.25,10.5,Evergreen shrubs,Group,10,-0.75,-0.075,Ecological monitoring,Tundra_decrease
Tundra,USA,ANWR:ATIGUN-B,68.4759725,-149.352222,Jorgenson,Jorgenson et al. 2000;,1997,2007,1.75,0.85,Evergreen shrubs,Group,10,-0.9,-0.09,Ecological monitoring,Tundra_decrease
Tundra,USA,ANWR:ATIGUN-C,68.454758,-149.319503,Jorgenson,Jorgenson et al. 2000; unpubl data,1997,2007,28.8,25.6,Evergreen shrubs,Group,10,-3.2,-0.32,Ecological monitoring,Tundra_decrease
Tundra,USA,ANWR:JAGO-A,69.70312,-143.626875,Jorgenson,Jorgenson et al. 1997; Unpubl. Data,1996,2005,6.775,5.825,Evergreen shrubs,Group,9,-0.95,-0.105555556,Ecological monitoring,Tundra_decrease
Tundra,USA,ANWR:JAGO-B,69.71159,-143.616045,Jorgenson,Jorgenson et al. 1997; Unpubl. Data,1996,2005,4.2,4.4,Evergreen shrubs,Group,9,0.2,0.022222222,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:AD,70.45373011,-157.4073879,Hollister,Hollister et al. 2005; Unpubl. data,1997,2012,7.147368421,5.568421053,Evergreen shrubs,Group,15,-1.578947368,-0.105263158,Ecological monitoring,Tundra_decrease
Tundra,Canada,ATQASUK:AG,70.451449,-157.403942,Hollister,Hollister et al. 2005; Hollister et al. 2015;,2010,2014,5.564516129,12.56451613,Evergreen shrubs,Group,4,7,1.75,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:RATE_BETULA_SHRUB,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,4.961708333,6.784654167,Evergreen shrubs,Group,9,1.822945833,0.202549537,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:RATE_CAREX_ WET_MEADOW,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,0.033333333,1.125,Evergreen shrubs,Group,9,1.091666667,0.121296296,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:RATE_DRYAS_HEATH,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,2.400345833,2.689583333,Evergreen shrubs,Group,9,0.2892375,0.0321375,Ecological monitoring,Tundra_increase
Tundra,Canada,ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW,70.456021,-157.414293,WEBBER,Elmendorf et al. 2012,2000,2009,4.941861111,4.023033333,Evergreen shrubs,Group,9,-0.918827778,-0.102091975,Ecological monitoring,Tundra_decrease
Tundra,Iceland,AUDKULUHEIDI:BETULAHEATH,65.21748,-19.71319,Jonsdottir,Jónsdóttir et al. 2005; Unpubl. data,1996,2007,3.3,2.65,Evergreen shrubs,Group,11,-0.65,-0.059090909,Ecological monitoring,Tundra_decrease
Tundra,USA,BARROW:BD,71.31502696,-156.6010247,Hollister,"Hollister et al. 2005; Unpubl. data
",1995,2012,10.84,21.36,Evergreen shrubs,Group,17,10.52,0.618823529,Ecological monitoring,Tundra_increase
Tundra,USA,BARROW:DRY_HEATH_ORDINATION,71.29,-156.64,WEBBER,Elmendorf et al. 2015,1999,2008,9.083333333,5.223333333,Evergreen shrubs,Group,9,-3.86,-0.428888889,Ecological monitoring,Tundra_decrease
Tundra,Iceland,BLONDUOS:SD33,65.50305,-20.22768,Magnusson,Magnusson et al. 2005,1997,2015,0,0.5,Evergreen shrubs,Group,18,0.5,0.027777778,Ecological monitoring,Tundra_increase
Tundra,Iceland,BLONDUOS:SD34,65.50146,-20.22503,Magnusson,Magnusson et al. 2005,1997,2015,9.480769231,7.692307692,Evergreen shrubs,Group,18,-1.788461538,-0.099358974,Ecological monitoring,Tundra_decrease
