"","ID","Longitude","Latitude","variable","year","value"
"1",1,18.82,68.35,"mat_min",1979,-16.95
"2",1,18.82,68.35,"mat_min",1980,-14.55
"3",1,18.82,68.35,"mat_min",1981,-16.85
"4",1,18.82,68.35,"mat_min",1982,-12.85
"5",1,18.82,68.35,"mat_min",1983,-12.45
"6",1,18.82,68.35,"mat_min",1984,-15.05
"7",1,18.82,68.35,"mat_min",1985,-21.55
"8",1,18.82,68.35,"mat_min",1986,-17.55
"9",1,18.82,68.35,"mat_min",1987,-16.85
"10",1,18.82,68.35,"mat_min",1988,-13.75
"11",1,18.82,68.35,"mat_min",1989,-11.15
"12",1,18.82,68.35,"mat_min",1990,-11.65
"13",1,18.82,68.35,"mat_min",1991,-14.65
"14",1,18.82,68.35,"mat_min",1992,-9.25
"15",1,18.82,68.35,"mat_min",1993,-12.85
"16",1,18.82,68.35,"mat_min",1994,-17.15
"17",1,18.82,68.35,"mat_min",1995,-13.05
"18",1,18.82,68.35,"mat_min",1996,-15.05
"19",1,18.82,68.35,"mat_min",1997,-10.05
"20",1,18.82,68.35,"mat_min",1998,-13.55
"21",1,18.82,68.35,"mat_min",1999,-13.75
"22",1,18.82,68.35,"mat_min",2000,-9.25
"23",1,18.82,68.35,"mat_min",2001,-12.85
"24",1,18.82,68.35,"mat_min",2002,-12.95
"25",1,18.82,68.35,"mat_min",2003,-17.65
"26",1,18.82,68.35,"mat_min",2004,-15.25
"27",1,18.82,68.35,"mat_min",2005,-10.55
"28",1,18.82,68.35,"mat_min",2006,-11.25
"29",1,18.82,68.35,"mat_min",2007,-14.65
"30",1,18.82,68.35,"mat_min",2008,-8.44999999999999
"31",1,18.82,68.35,"mat_min",2009,-12.85
"32",1,18.82,68.35,"mat_min",2010,-15.85
"33",1,18.82,68.35,"mat_min",2011,-14.45
"34",1,18.82,68.35,"mat_min",2012,-13.35
"35",1,18.82,68.35,"mat_min",2013,-9.64999999999998
"36",2,-75.92,78.88,"mat_min",1979,-38.75
"37",2,-75.92,78.88,"mat_min",1980,-26.35
"38",2,-75.92,78.88,"mat_min",1981,-30.65
"39",2,-75.92,78.88,"mat_min",1982,-29.15
"40",2,-75.92,78.88,"mat_min",1983,-32.95
"41",2,-75.92,78.88,"mat_min",1984,-32.75
"42",2,-75.92,78.88,"mat_min",1985,-30.85
"43",2,-75.92,78.88,"mat_min",1986,-30.95
"44",2,-75.92,78.88,"mat_min",1987,-36.05
"45",2,-75.92,78.88,"mat_min",1988,-29.75
"46",2,-75.92,78.88,"mat_min",1989,-33.65
"47",2,-75.92,78.88,"mat_min",1990,-29.25
"48",2,-75.92,78.88,"mat_min",1991,-29.75
"49",2,-75.92,78.88,"mat_min",1992,-30.55
"50",2,-75.92,78.88,"mat_min",1993,-32.05
"51",2,-75.92,78.88,"mat_min",1994,-33.15
"52",2,-75.92,78.88,"mat_min",1995,-31.05
"53",2,-75.92,78.88,"mat_min",1996,-28.55
"54",2,-75.92,78.88,"mat_min",1997,-31.75
"55",2,-75.92,78.88,"mat_min",1998,-30.75
"56",2,-75.92,78.88,"mat_min",1999,-30.75
"57",2,-75.92,78.88,"mat_min",2000,-28.25
"58",2,-75.92,78.88,"mat_min",2001,-28.85
"59",2,-75.92,78.88,"mat_min",2002,-29.35
"60",2,-75.92,78.88,"mat_min",2003,-27.15
"61",2,-75.92,78.88,"mat_min",2004,-32.75
"62",2,-75.92,78.88,"mat_min",2005,-30.95
"63",2,-75.92,78.88,"mat_min",2006,-31.15
"64",2,-75.92,78.88,"mat_min",2007,-30.25
"65",2,-75.92,78.88,"mat_min",2008,-34.15
"66",2,-75.92,78.88,"mat_min",2009,-29.55
"67",2,-75.92,78.88,"mat_min",2010,-32.25
"68",2,-75.92,78.88,"mat_min",2011,-29.65
"69",2,-75.92,78.88,"mat_min",2012,-34.05
"70",2,-75.92,78.88,"mat_min",2013,-31.55
"71",3,-75.9,78.86,"mat_min",1979,-39.75
"72",3,-75.9,78.86,"mat_min",1980,-28.15
"73",3,-75.9,78.86,"mat_min",1981,-32.35
"74",3,-75.9,78.86,"mat_min",1982,-30.75
"75",3,-75.9,78.86,"mat_min",1983,-34.55
"76",3,-75.9,78.86,"mat_min",1984,-34.45
"77",3,-75.9,78.86,"mat_min",1985,-32.25
"78",3,-75.9,78.86,"mat_min",1986,-32.55
"79",3,-75.9,78.86,"mat_min",1987,-37.05
"80",3,-75.9,78.86,"mat_min",1988,-31.45
"81",3,-75.9,78.86,"mat_min",1989,-35.25
"82",3,-75.9,78.86,"mat_min",1990,-30.95
"83",3,-75.9,78.86,"mat_min",1991,-31.45
"84",3,-75.9,78.86,"mat_min",1992,-32.15
"85",3,-75.9,78.86,"mat_min",1993,-33.65
"86",3,-75.9,78.86,"mat_min",1994,-34.65
"87",3,-75.9,78.86,"mat_min",1995,-32.65
"88",3,-75.9,78.86,"mat_min",1996,-30.15
"89",3,-75.9,78.86,"mat_min",1997,-33.25
"90",3,-75.9,78.86,"mat_min",1998,-32.35
"91",3,-75.9,78.86,"mat_min",1999,-32.45
"92",3,-75.9,78.86,"mat_min",2000,-29.95
"93",3,-75.9,78.86,"mat_min",2001,-30.15
"94",3,-75.9,78.86,"mat_min",2002,-30.85
"95",3,-75.9,78.86,"mat_min",2003,-28.75
"96",3,-75.9,78.86,"mat_min",2004,-34.35
"97",3,-75.9,78.86,"mat_min",2005,-32.75
"98",3,-75.9,78.86,"mat_min",2006,-32.55
"99",3,-75.9,78.86,"mat_min",2007,-31.85
"100",3,-75.9,78.86,"mat_min",2008,-35.75
"101",3,-75.9,78.86,"mat_min",2009,-30.95
"102",3,-75.9,78.86,"mat_min",2010,-33.65
"103",3,-75.9,78.86,"mat_min",2011,-31.45
"104",3,-75.9,78.86,"mat_min",2012,-35.35
"105",3,-75.9,78.86,"mat_min",2013,-32.95
"106",4,-151.2,68.95,"mat_min",1979,-33.95
"107",4,-151.2,68.95,"mat_min",1980,-30.65
"108",4,-151.2,68.95,"mat_min",1981,-28.75
"109",4,-151.2,68.95,"mat_min",1982,-29.45
"110",4,-151.2,68.95,"mat_min",1983,-34.45
"111",4,-151.2,68.95,"mat_min",1984,-41.25
"112",4,-151.2,68.95,"mat_min",1985,-31.35
"113",4,-151.2,68.95,"mat_min",1986,-31.45
"114",4,-151.2,68.95,"mat_min",1987,-31.15
"115",4,-151.2,68.95,"mat_min",1988,-28.95
"116",4,-151.2,68.95,"mat_min",1989,-32.35
"117",4,-151.2,68.95,"mat_min",1990,-36.35
"118",4,-151.2,68.95,"mat_min",1991,-30.05
"119",4,-151.2,68.95,"mat_min",1992,-31.75
"120",4,-151.2,68.95,"mat_min",1993,-24.45
"121",4,-151.2,68.95,"mat_min",1994,-26.45
"122",4,-151.2,68.95,"mat_min",1995,-24.85
"123",4,-151.2,68.95,"mat_min",1996,-25.55
"124",4,-151.2,68.95,"mat_min",1997,-27.25
"125",4,-151.2,68.95,"mat_min",1998,-28.45
"126",4,-151.2,68.95,"mat_min",1999,-32.25
"127",4,-151.2,68.95,"mat_min",2000,-24.15
"128",4,-151.2,68.95,"mat_min",2001,-27.15
"129",4,-151.2,68.95,"mat_min",2002,-27.65
"130",4,-151.2,68.95,"mat_min",2003,-24.25
"131",4,-151.2,68.95,"mat_min",2004,-28.45
"132",4,-151.2,68.95,"mat_min",2005,-26.05
"133",4,-151.2,68.95,"mat_min",2006,-29.55
"134",4,-151.2,68.95,"mat_min",2007,-29.55
"135",4,-151.2,68.95,"mat_min",2008,-28.15
"136",4,-151.2,68.95,"mat_min",2009,-27.05
"137",4,-151.2,68.95,"mat_min",2010,-29.35
