"","ModelNumber","modelName","variable","effect","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC"
"1",1,"Climatology interaction Tundra","(Intercept)","fixed",0.281176109723507,-0.0121113516215701,0.596565163839841,3324,0.0716004813477737
"2",1,"Climatology interaction Tundra","tempc","fixed",0.0096204016882065,-0.016496769952937,0.0377791157494052,3324.00000000001,0.487966305655836
"3",1,"Climatology interaction Tundra","precip","fixed",-9.52566535317926e-05,-0.000408452382544056,0.00025445031496929,2705.54343152875,0.561973525872443
"4",1,"Climatology interaction Tundra","tempc:precip","fixed",-1.2870473145529e-06,-4.53186803497374e-05,4.34522444265895e-05,3324,0.956678700361011
"5",1,"Climatology interaction Tundra","(Intercept):(Intercept).geo.coords","random",0.055523524505565,1.05161988140769e-12,0.120551813562022,635.531130324019,NA
"6",1,"Climatology interaction Tundra","units","residual",0.348054872115162,0.291876516139844,0.406371279727767,945.916283447456,NA
"7",2,"Climatology interaction Savanna","(Intercept)","fixed",0.798878902668556,-0.776394763583085,2.44216237598448,3324,0.324308062575211
"8",2,"Climatology interaction Savanna","tempc","fixed",-0.0250662092098522,-0.089882239641156,0.0381306880162811,3502.86316807341,0.435018050541516
"9",2,"Climatology interaction Savanna","precip","fixed",-0.00125127776134566,-0.00280078294963459,0.000294107137960964,3324,0.117930204572804
"10",2,"Climatology interaction Savanna","tempc:precip","fixed",6.19580906984576e-05,-1.08694439404644e-06,0.000125334365293384,3324,0.0667870036101084
"11",2,"Climatology interaction Savanna","(Intercept):(Intercept).geo.coords","random",0.144650627336968,0.0580902125110005,0.263925426420654,3267.87773406352,NA
"12",2,"Climatology interaction Savanna","units","residual",0.593126552468359,0.532890726038798,0.651859227517385,3463.30095517567,NA
"13",3,"MAT Tundra rate vs rate","(Intercept)","fixed",0.374196551964208,0.219849941655411,0.543582713551586,3400,0.000294117647058824
"14",3,"MAT Tundra rate vs rate","estimate","fixed",-3.23104501093262,-4.81998739647679,-1.60094238592137,3400,0.000294117647058824
"15",3,"MAT Tundra rate vs rate","(Intercept):(Intercept).geo.coords","random",0.0632377507979175,0.00779347401414642,0.13392380552985,3400,NA
"16",3,"MAT Tundra rate vs rate","units","residual",0.326688746154909,0.275026520856207,0.379125905751611,3400.00000000001,NA
"17",4,"MAT Savanna rate vs rate","(Intercept)","fixed",0.406761014408207,0.233008773248002,0.597648398048477,3400,0.000294117647058824
"18",4,"MAT Savanna rate vs rate","estimate","fixed",-1.67557473334957,-4.37414479792278,1.07051359090838,3571.34491032123,0.237058823529412
"19",4,"MAT Savanna rate vs rate","(Intercept):(Intercept).geo.coords","random",0.162675535336073,0.0608822322604219,0.284092093888099,3121.24410379144,NA
"20",4,"MAT Savanna rate vs rate","units","residual",0.596372870608248,0.536704210526001,0.656159200042172,3400,NA
"21",5,"MAT Jun-Jul Tundra rate vs rate","(Intercept)","fixed",0.152985049556386,0.00731399967742163,0.297960599404178,3270.35408459214,0.0411764705882354
"22",5,"MAT Jun-Jul Tundra rate vs rate","estimate","fixed",0.581562407778828,-0.972638173700034,2.21329211653574,3400,0.479411764705882
"23",5,"MAT Jun-Jul Tundra rate vs rate","(Intercept):(Intercept).geo.coords","random",0.0628019136259702,0.0121582931017693,0.132624037789648,3419.882555157,NA
"24",5,"MAT Jun-Jul Tundra rate vs rate","units","residual",0.344251875015316,0.28791610501483,0.401524478081902,3400,NA
"25",6,"MAT Jun-Jul Savanna rate vs rate","(Intercept)","fixed",0.412777519370976,0.222846554417629,0.589946558902739,2561.23583577808,0.000294117647058824
"26",6,"MAT Jun-Jul Savanna rate vs rate","estimate","fixed",-1.42292897957063,-2.91520667562145,0.170852097246097,3064.12691717505,0.0729411764705882
"27",6,"MAT Jun-Jul Savanna rate vs rate","(Intercept):(Intercept).geo.coords","random",0.16684816783498,0.0619479366335548,0.289949380757375,3160.67087425198,NA
"28",6,"MAT Jun-Jul Savanna rate vs rate","units","residual",0.596186508272473,0.533258378172405,0.65509397540635,3399.99999999999,NA
"29",7,"MAT Jan-Feb Tundra rate vs rate","(Intercept)","fixed",0.282633074164115,0.162638849840732,0.425953860781192,3400,0.000294117647058824
"30",7,"MAT Jan-Feb Tundra rate vs rate","estimate","fixed",-1.35681775388427,-1.90822546847266,-0.774055108397533,3400,0.000294117647058824
"31",7,"MAT Jan-Feb Tundra rate vs rate","(Intercept):(Intercept).geo.coords","random",0.059278894430641,0.0107470009149841,0.125893862389052,3399.99999999999,NA
"32",7,"MAT Jan-Feb Tundra rate vs rate","units","residual",0.32193637048319,0.270123705493209,0.376077772593732,3399.99999999999,NA
"33",8,"MAT Jan-Feb Savanna rate vs rate","(Intercept)","fixed",0.40380157421948,0.22446341853356,0.585840363200987,3144.70165042875,0.000294117647058824
"34",8,"MAT Jan-Feb Savanna rate vs rate","estimate","fixed",-0.697133514109126,-2.32530288809176,0.88273963681786,3187.93475392356,0.379411764705882
"35",8,"MAT Jan-Feb Savanna rate vs rate","(Intercept):(Intercept).geo.coords","random",0.163169018647718,0.0587058851906755,0.287614765099961,3399.99999999999,NA
"36",8,"MAT Jan-Feb Savanna rate vs rate","units","residual",0.597793380754937,0.541496975584466,0.661296195103409,3223.00234520769,NA
"37",9,"MAP Tundra rate vs rate","(Intercept)","fixed",0.174237021743053,0.0514773268369026,0.310414480714826,3400,0.00941176470588245
"38",9,"MAP Tundra rate vs rate","estimate","fixed",0.0268487145057764,-0.0908980684325797,0.137056343228323,3074.16501204539,0.650588235294118
"39",9,"MAP Tundra rate vs rate","(Intercept):(Intercept).geo.coords","random",0.0580733622417636,0.00842823893942131,0.122995520933068,3175.55833400338,NA
"40",9,"MAP Tundra rate vs rate","units","residual",0.346966416144822,0.290799187819515,0.403148997772032,3399.99999999999,NA
"41",10,"MAP Savanna rate vs rate","(Intercept)","fixed",0.36090770336603,0.177317399844469,0.531099342369998,3400,0.000294117647058824
"42",10,"MAP Savanna rate vs rate","estimate","fixed",0.0555703056884815,-0.00131341557425912,0.108735905931098,3400,0.0517647058823529
"43",10,"MAP Savanna rate vs rate","(Intercept):(Intercept).geo.coords","random",0.158245609825403,0.0620929218831354,0.279629872971905,3400,NA
"44",10,"MAP Savanna rate vs rate","units","residual",0.594746722907251,0.537989165199066,0.657976866198953,2611.50845023148,NA
"45",11,"MAP Jan-Feb Tundra rate vs rate","(Intercept)","fixed",0.185131859792502,0.0600593091749033,0.310939682560274,3400,0.00764705882352934
"46",11,"MAP Jan-Feb Tundra rate vs rate","estimate","fixed",-0.0517257268335885,-0.153460038607591,0.0493106979483855,3400,0.305882352941176
